Bit-length,Lattice Dimension,Exact Lattice Dimension,N,l,c,p,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Run-time
174,23,23.36553208743244,22130557138444282524616215464320201479182162099391971,1,3,10,36.55133376499413,0.05930000000005842,36.55133376499413,0.0593,0,0.9406999999999416,39.50180355138555,10.133516728999894
174,23,23.297351889136497,14307714815426830224073278101511618576150316405817957,1,3,10,36.796738985948195,0.0039000000000600776,36.60601043544625,0.0092,0.0275,0.96859999999994,38.56237336464046,10.109522421000293
174,23,23.283391744810793,13085728250032831715356391454822723598386001943511607,1,3,10,36.64696440361739,0.0273000000000565,36.64696440361739,0.0157,0,0.9726999999999435,38.5131297447495,10.019178215000466
174,23,23.375303561205293,23558535397080415220709316214295477766420843638607579,1,3,10,37.04051835490427,0.04120000000004875,36.91882988394946,0.018,0.06409999999999999,0.8946999999999512,38.834104674317686,10.232300034000218
174,23,23.363906603355744,21901565541457201939242657839862145316492606051267617,1,3,10,36.810324638611924,0.016500000000053472,36.72873534441391,0.0124,0.0124,0.9710999999999466,38.526449364947396,10.068787015999987
174,23,23.353142849349247,20443928384805547078267963644186863539749471156182069,1,3,10,36.9729630946723,0.016600000000055237,36.64696440361739,0.0127,0.1009,0.8824999999999448,38.54740808779634,10.076591977000135
174,23,23.281017938205807,12888589711836676697858432285316309548145844085351267,1,3,10,36.796738985948195,0.017500000000056692,36.76955262170047,0.0201,0.0201,0.9623999999999433,39.27978399793971,10.107418130000042
174,23,23.343526202080923,19223979933568507262703483015150327129838314733631419,1,3,10,36.78314831549904,0.014500000000050806,36.78314831549904,0.0145,0,0.9854999999999492,38.63865128941681,10.15004041300017
174,23,23.28296388221065,13049973649925068644261064564938816023078309040221341,1,3,10,36.4828726939094,0.016800000000063653,36.4828726939094,0.0168,0,0.9831999999999363,38.65357820546301,10.019027559000278
182,24,24.23937565450254,6047724091706662427167092603986292628590735282688588931,1,3,10,37.8549864614954,0.006500000000054351,37.52332607858744,0.0206,0.12269999999999998,0.8707999999999456,39.572658619561594,21.709357695000108
182,24,24.191082313807197,4431080475636185841867546867482971967072712688634459639,1,3,10,37.30951621235526,0.005200000000074256,37.30951621235526,0.0052,0,0.9947999999999257,39.501866169207204,21.738553268000032
182,24,24.23869473532039,6021254954431008877923058165959489009707894709323470123,1,3,10,37.64306044943742,0.006400000000068906,37.48332962798263,0.0051,0.027399999999999997,0.9661999999999311,39.79040692216086,21.567345528999795
