,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,5.0,2.0,19.0,1.0,1.5,2.449489742783178,0.877,2.449489742783178,0.877,0.0,0.123,2.8213747164868828
0,5.0,2.0,17.0,1.0,1.5,3.0,0.646,3.0,0.646,0.0,0.354,3.526333991783583
0,5.0,2.0,31.0,1.0,1.5,5.0,0.495,5.0,0.495,0.0,0.505,5.058096928952929
0,5.0,2.0,31.0,1.0,1.5,5.0,0.495,5.0,0.495,0.0,0.505,5.058096928952929
0,5.0,2.0,19.0,1.0,1.5,2.449489742783178,0.877,2.449489742783178,0.877,0.0,0.123,2.8213747164868828
0,6.0,2.0,53.0,1.0,1.5,3.3166247903554,0.6990000000000001,3.3166247903554,0.699,0.0,0.301,3.8570265825362595
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.916,3.7416573867739413,0.916,0.0,0.08399999999999999,3.9216672866812115
0,6.0,2.0,59.0,1.0,1.5,3.7416573867739413,0.916,3.7416573867739413,0.916,0.0,0.08399999999999999,3.9216672866812115
0,6.0,2.0,37.0,1.0,1.5,2.8284271247461903,0.868,2.8284271247461903,0.868,0.0,0.132,3.2211033460280354
0,6.0,2.0,47.0,1.0,1.5,4.242640687119285,0.993,4.242640687119285,0.993,0.0,0.007,4.256258737780557
0,7.0,2.0,127.0,1.0,1.5,5.0990195135927845,0.669,5.0990195135927845,0.669,0.0,0.331,5.196742547885189
0,7.0,2.0,97.0,1.0,1.5,5.0990195135927845,0.696,5.0990195135927845,0.696,0.0,0.304,5.189819972611747
0,7.0,2.0,97.0,1.0,1.5,5.0990195135927845,0.696,5.0990195135927845,0.696,0.0,0.304,5.189819972611747
0,7.0,2.0,71.0,1.0,1.5,3.7416573867739413,0.993,3.7416573867739413,0.993,0.0,0.007,3.7608978141186866
0,7.0,2.0,113.0,1.0,1.5,3.605551275463989,0.883,3.605551275463989,0.883,0.0,0.11699999999999999,3.967945303463177
0,8.0,3.0,157.0,1.0,1.5,4.358898943540674,0.3789999999999999,4.358898943540674,0.379,0.0,0.6210000000000001,4.6775587916248655
0,8.0,3.0,149.0,1.0,1.5,4.123105625617661,0.44499999999999995,4.123105625617661,0.445,0.0,0.555,4.441952663510484
0,8.0,2.0,131.0,1.0,1.5,5.196152422706632,0.983,5.196152422706632,0.983,0.0,0.017,5.216311073529526
0,8.0,3.0,193.0,1.0,1.5,3.605551275463989,0.73,3.605551275463989,0.73,0.0,0.27,4.242178109342252
0,8.0,3.0,199.0,1.0,1.5,4.0,0.613,4.0,0.613,0.0,0.387,4.554247324896952
0,9.0,3.0,503.0,1.0,1.5,5.0990195135927845,0.5549999999999999,5.0990195135927845,0.362,0.0,0.445,5.343079362019754
0,9.0,3.0,373.0,1.0,1.5,4.123105625617661,0.743,4.123105625617661,0.743,0.0,0.257,4.606817142905545
0,9.0,3.0,503.0,1.0,1.5,5.0990195135927845,0.5549999999999999,5.0990195135927845,0.362,0.0,0.445,5.343079362019754
0,9.0,3.0,379.0,1.0,1.5,4.242640687119285,0.6779999999999999,4.242640687119285,0.678,0.0,0.32200000000000006,4.858284462004394
0,9.0,3.0,409.0,1.0,1.5,4.58257569495584,0.525,4.58257569495584,0.525,0.0,0.475,5.025804988221907
0,10.0,3.0,691.0,1.0,1.5,5.0990195135927845,0.19300000000000006,5.0,0.384,0.384,0.423,5.293547717988429
0,10.0,3.0,1013.0,1.0,1.5,5.385164807134504,0.23699999999999988,5.385164807134504,0.237,0.0,0.7630000000000001,5.652877663391983
0,10.0,3.0,823.0,1.0,1.5,4.69041575982343,0.655,4.69041575982343,0.655,0.0,0.34500000000000003,5.2431036864576575
0,10.0,3.0,929.0,1.0,1.5,4.898979485566356,0.31299999999999994,4.898979485566356,0.313,0.0,0.687,5.523163261263043
0,10.0,3.0,1019.0,1.0,1.5,5.385164807134504,0.23699999999999988,5.385164807134504,0.237,0.0,0.7630000000000001,5.652877663391983
0,11.0,3.0,1987.0,1.0,1.5,6.0,0.275,5.744562646538029,0.238,0.596,0.129,5.989767184800042
0,11.0,3.0,1627.0,1.0,1.5,5.0,0.767,5.0,0.767,0.0,0.233,5.500325581821181
0,11.0,3.0,1439.0,1.0,1.5,5.196152422706632,0.6719999999999999,5.196152422706632,0.672,0.0,0.32800000000000007,5.558164079650984
0,11.0,3.0,1811.0,1.0,1.5,5.291502622129181,0.6759999999999999,5.291502622129181,0.676,0.0,0.32400000000000007,5.6550901263867965
0,11.0,3.0,1427.0,1.0,1.5,5.196152422706632,0.6719999999999999,5.196152422706632,0.672,0.0,0.32800000000000007,5.558164079650984
0,12.0,3.0,2791.0,1.0,1.5,5.385164807134504,0.372,5.385164807134504,0.372,0.0,0.628,6.122067758948436
0,12.0,3.0,2339.0,1.0,1.5,5.477225575051661,0.605,5.477225575051661,0.605,0.0,0.395,5.880668269303331
0,12.0,3.0,2729.0,1.0,1.5,5.477225575051661,0.4720000000000001,5.477225575051661,0.472,0.0,0.5279999999999999,5.855058019405928
0,12.0,3.0,3359.0,1.0,1.5,5.385164807134504,0.45399999999999996,5.385164807134504,0.454,0.0,0.546,6.210239609224642
0,12.0,3.0,2687.0,1.0,1.5,5.477225575051661,0.4720000000000001,5.477225575051661,0.472,0.0,0.5279999999999999,5.855058019405928
0,13.0,3.0,6733.0,1.0,1.5,6.0,0.552,6.0,0.552,0.0,0.44799999999999995,6.427298024375925
0,13.0,3.0,6703.0,1.0,1.5,6.0,0.552,6.0,0.552,0.0,0.44799999999999995,6.427298024375925
0,13.0,3.0,4987.0,1.0,1.5,5.830951894845301,0.46399999999999997,5.830951894845301,0.464,0.0,0.536,6.498291279923823
0,13.0,3.0,6263.0,1.0,1.5,6.708203932499369,0.477,6.48074069840786,0.31,0.503,0.02,6.6301378307897885
0,13.0,3.0,5651.0,1.0,1.5,5.830951894845301,0.355,5.830951894845301,0.355,0.0,0.645,6.528107629720459
0,14.0,4.0,15791.0,1.0,1.5,5.385164807134504,0.128,5.385164807134504,0.128,0.0,0.872,5.930478191903715
0,14.0,4.0,9043.0,1.0,1.5,4.58257569495584,0.2779999999999998,4.58257569495584,0.278,0.0,0.7220000000000002,5.4347776821677245
0,14.0,4.0,12911.0,1.0,1.5,5.0990195135927845,0.17699999999999994,5.0990195135927845,0.177,0.0,0.8230000000000001,5.902226443831377
0,14.0,4.0,14549.0,1.0,1.5,5.385164807134504,0.43199999999999994,5.291502622129181,0.158,0.158,0.41000000000000003,5.634971972115119
