,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,11.0,1.0,3.0,20.92844953645635,0.19500000000000006,20.92844953645635,0.195,0.0,0.8049999999999999,29.86808960619365,10.0
0,4.0,2.0,13.0,1.0,3.0,15.652475842498529,0.07199999999999995,15.652475842498529,0.072,0.0,0.928,36.01226302017069,10.0
