,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2],Pre-training Bit-length
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,11.0,1.0,3.0,7.810249675906654,0.0394000000000001,7.810249675906654,0.0394,0.0,0.9605999999999999,38.00939244291224,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
0,4.0,2.0,13.0,1.0,3.0,5.0990195135927845,0.07379999999999998,5.0990195135927845,0.0738,0.0,0.9262,37.183678224528876,25.0
