,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.241,10.295630140987,0.241,0.0,0.759,29.814839585269283
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.241,10.295630140987,0.241,0.0,0.759,29.814839585269283
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.241,10.295630140987,0.241,0.0,0.759,29.814839585269283
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.241,10.295630140987,0.241,0.0,0.759,29.814839585269283
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,19.0,1.0,3.0,10.295630140987,0.241,10.295630140987,0.241,0.0,0.759,29.814839585269283
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,17.0,1.0,3.0,13.379088160259652,0.7130000000000001,13.379088160259652,0.713,0.0,0.287,14.64669635168189
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,29.0,1.0,3.0,14.866068747318506,0.241,14.866068747318506,0.241,0.0,0.759,27.929530365888432
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,31.0,1.0,3.0,18.920887928424502,0.999,18.920887928424502,0.999,0.0,0.001,18.93060268262263
0,5.0,2.0,23.0,1.0,3.0,9.848857801796104,0.993,9.848857801796104,0.993,0.0,0.007,10.061000884311671
0,6.0,2.0,47.0,1.0,3.0,21.400934559032695,0.753,21.400934559032695,0.753,0.0,0.247,22.710608570798264
0,6.0,2.0,53.0,1.0,3.0,20.248456731316587,0.5920000000000001,20.248456731316587,0.592,0.0,0.408,20.944521732180277
0,6.0,2.0,59.0,1.0,3.0,20.92844953645635,0.706,20.92844953645635,0.706,0.0,0.29400000000000004,21.829971825399724
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,59.0,1.0,3.0,20.92844953645635,0.706,20.92844953645635,0.706,0.0,0.29400000000000004,21.829971825399724
0,6.0,2.0,37.0,1.0,3.0,22.825424421026653,0.857,22.825424421026653,0.857,0.0,0.14300000000000002,23.05205474591089
0,6.0,2.0,61.0,1.0,3.0,5.744562646538029,0.938,5.744562646538029,0.938,0.0,0.062,7.329156301716528
0,6.0,2.0,37.0,1.0,3.0,22.825424421026653,0.857,22.825424421026653,0.857,0.0,0.14300000000000002,23.05205474591089
0,6.0,2.0,47.0,1.0,3.0,21.400934559032695,0.753,21.400934559032695,0.753,0.0,0.247,22.710608570798264
0,6.0,2.0,43.0,1.0,3.0,11.445523142259598,0.69,11.445523142259598,0.69,0.0,0.31,14.189688537971785
